Ticker,Previous Close,Volume,Market Cap,Enterprise Value,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Assets,Intangible Assets,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),Price/Sales,EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,FCF,NAV,NAV%,NET-NET,NET-NET%,EY,EV/FCF,Tangible Book Value,Price/Tangible Book Value
AEGN,24.93,190507.0,820056000.0,1070000000.0000001,340640000.0,0.0,0.0,0.0,0.0,0.0,0.0,32310000.000000004,1.91,0.0,0.61,2.46,0.0,0.0,0.0,0.0,34210000.0,0.7108401726618705,-0.24378705035971215,-0.05620445323741007,-1.0597919715291597,13.197287299630087,0.10090829911658578,49403392.0,1.9027033609352167e-08
ATRA,40.8,244629.0,1875000000.0,1500000000.0,10300000.0,0.0,0.0,44129000.0,217779000.0,0.0,39915000.0,45340000.0,4.05,0.0,0.0,4.37,0.0,0.0,0.0,79223000.0,107730000.0,1.2478183636363636,-0.3105975891511804,1.1404066818181817,-0.3699410597689604,21.81034482758621,0.26403641881638845,6863001.0,2.637330229151941e-07
AVHI,21.35,95009.0,447230000.0,836760000.0,473090000.0,13702000.0,603851000.0,32664000.0,1010144000.0,0.0,578174000.0,22360000.0,0.87,0.0,0.53,1.09,0.0,0.0,0.0,240990000.0,32380000.000000004,-3.09004329004329,-3.255506051126489,-3.4152597402597404,-3.4928903213574745,15.090229885057472,0.3780417149478563,-35690000.0,-3.838610254973382e-08
DCIX,1.24,546767.0,12648000.0,47140000.0,38470000.0,428000.0,1667000.0,202219000.0,232307000.0,0.0,101535000.0,9960000.0,4.59,0.0,0.44,18.07,0.0,0.0,0.0,6444000.0,13040000.0,-0.6232144785276074,-2.228977476883469,-0.6356619325153374,-2.2535238266916533,19.75286259541985,0.004295081967213114,-5079198.0,-9.983859656583578e-08
INSE,6.35,14668.0,131056999.99999999,253760000.0,128580000.00000001,30011000.0,5011000.0,43485000.0,219023000.0,55673000.0,221352000.0,21480000.0,-0.09,0.0,0.93,0.87,0.0,0.0,0.0,20028000.0,3130000.0,-0.7652372262773722,-4.64398679179701,-0.9949418339416058,-5.73781825686479,144.33648979591837,1.7657657657657657,-33548000.0,-6.2596876117801355e-09
NVLN,3.18,367610.0,55804000.0,311210000.0,292930000.0,22191000.0,15886000.0,2920000.0,369322000.0,225272000.0,354384000.0,18850000.0,2.08,0.0,0.44,7.4,0.0,0.0,0.0,55430000.0,55650000.0,1.2949742268041238,-0.37137173456110495,1.1768041237113402,-0.42873586227604843,24.514802919708032,0.3468354430379747,10049000.0,2.0499552194248184e-07
RSYS,1.63,162398.0,64563999.99999999,84520000.0,25560000.0,36241000.0,4265000.0,4728000.0,66029000.0,6862000.0,59479000.0,39610000.0,2.04,0.0,0.58,1.18,0.0,0.0,0.0,8124000.0,16790000.0,0.4132151531728665,8.391253481201511,0.0005356229485776805,-0.9878267511686891,10839470.248714449,1.4943544171458443e-05,30214292.0,1.456264472455618e-09
YECO,1.41,49239.0,3519000.0,13310000.0,11850000.0,4980748.0,209202.0,6655840.0,33278150.0,2065369.0000000002,29559181.0,2410000.0,5.29,0.0,0.37,3.08,0.0,0.0,0.0,1813908.0,379120.0,0.006298982905816689,-0.9968816916307838,0.0006655840998813714,-0.9996705029208508,60.353286384976535,1.0570719602977667,3239000.0,6.236492744674282e-07
MSO,0.0,0.0,0.0,0.0,0.0,1947000.0,3164000.0,14000.0,47757000.0,0.0,3974000.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,25096000.0,5160000.0,1.9476423487544483,0.3071425159425827,1.0755449288256227,-0.2781577658888438,28277.956103062374,4.4678294573643406e-05,43783000.0,3.403147340291894e-08
MSTX,0.14,15259475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5160000.0,0.0,-1.0,0.0,-1.0,28277.956103062374,4.4678294573643406e-05,0.0,3.403147340291894e-08
MT,31.33,2417719.0,31153000000.0,45580000000.0,13520000000.0,5345000000.0,17986000000.0,36971000000.0,85297000000.0,443000000.0,44442000000.0,1010000000.0,3.33,5.96,0.42,5.18,0.0,0.0,0.0,2574000000.0,1550000000.0,0.0,-1.0,0.0,-1.0,28277.956103062374,4.4678294573643406e-05,0.0,3.403147340291894e-08
NSR,0.0,0.0,0.0,0.0,0.0,850000.0,533000.0,476000.0,6107000.0,0.0,3106000.0,0.0,5.19,0.0,0.0,0.0,0.0,0.0,0.0,3710000.0,56030000.0,0.12619848612279227,-0.4263705176236715,0.08343145500420522,-0.620766113617249,38.4546468401487,0.3206197854588796,3001000.0,7.330889703432189e-08
